colony	resistance								
1	kan								
2	kan								
3	kan								
4	kan								
5	kan								
6	kan								
7	kan								
8	kan								
9	kan								
10	kan								
11	kan								
12	kan								
13	kan								
14	kan								
15	kan								
16	cip								
17	kan								
17	cmp								
17	cip								
17	tet								
18	kan								
18	cmp								
18	cip								
18	tet								
19	kan								
19	cmp								
19	cip								
19	tet								
20	kan								
20	cmp								
20	cip								
20	tet								
21	kan								
21	cmp								
21	cip								
21	tet								
22	kan								
22	cip								
22	tet								
23	kan								
23	cmp								
23	cip								
23	tet								
24	kan								
24	cip								
24	tet								
25	kan								
25	cmp								
25	cip								
26	kan								
26	cmp								
26	cip								
26	tet								
27	kan								
27	cmp								
27	cip								
27	tet								
28	kan								
28	cmp								
28	cip								
29	kan								
29	cmp								
29	cip								
30	kan								
30	cmp								
30	cip								
